investment_id,title,investment_strategy,term,offering_type
171,Cash-Flowing Comfort Inn St. Louis Hotel,Opportunistic,3,Preferred Equity
21,1136 Dean Street,Value Add,5,Equity
174,Preferred Equity - San Francisco Residential Development,Opportunistic,18,Preferred Equity
191,Preferred Equity - Cash-Flowing Chicago Area Office,Core-Plus,3,Preferred Equity
298,Preferred Equity - Newly Completed Brooklyn Condo,Opportunistic,9,Preferred Equity
71,Aspen Residential Development,Value Add,3,Preferred Equity
164,Cash-Flowing New Jersey Self Storage,Value Add,3,Equity
603,Luna IV,Opportunistic,9,Preferred Equity
604,Reserves at Green Meadows,Opportunistic,12,Preferred Equity
193,Cash-Flowing Fairfield Inn & Suites Hotel,Value Add,3,Equity
601,Chase Bank Mixed-Use Development,Opportunistic,24,Preferred Equity
566,Molino on Priest,Value Add,36,Preferred Equity
128,Midtown Detroit Multifamily Portfolio,Value Add,5,Equity
392,Los Angeles - Arlington Avenue Loan,Value Add,12,Senior Debt
468,"San Antonio, TX - Collection At Overlook",Value Add,5,Equity
119,Richmond Multifamily & Student Housing,Value Add,7,Equity
463,"Schaumburg, IL - Carmax Triple-Net DST",Core,8,Equity
250,"Tidal Wave Car Wash - Pace, FL",Opportunistic,36,Preferred Equity
126,Hotel Indigo Acquisition & Development Loan,Opportunistic,6,Senior Debt
127,New York City Mixed Asset Portfolio,Core-Plus,10,Equity
28,Occupied Industrial Property Bridge Loan,Opportunistic,12,Senior Debt
599,Continental Real Estate Income Fund II,Core,10,Equity
383,Indianapolis-Stabybridge Suites Mezzanine Loans,Value Add,79,Mezzanine Debt
34,"Historic Boutique Hotel Conversion - Savannah, GA",Core,7,Equity
14,364 King Street,Core,10,Preferred Equity
15,"363, 367, 369 King Street",Core,10,Equity
304,Coming Soon – Car Wash Development,Opportunistic,36,Preferred Equity
432,HFZ Lionbridge Fund,Core,24,Equity
35,Park City Townhomes Construction Loan,Opportunistic,12,Senior Debt
433,"Tidal Wave - Ocala, FL (B)",Value Add,34,Preferred Equity
256,Preferred Equity - Newly Completed Brooklyn Condo,Opportunistic,9,Preferred Equity
177,Mid-City LA Multifamily Value Add - 3rd Avenue,Value Add,3,Equity
165,Brooklyn Mixed-Use Redevelopment Portfolio,Opportunistic,12,Preferred Equity
434,"Tidal Wave - Ocala, FL (A)",Value Add,36,Preferred Equity
178,Preferred Equity - Grand Rapids Manufactured Housing 2,Opportunistic,2,Preferred Equity
241,Preferred Equity - Boston Condo Development Tranche II,Opportunistic,18,Preferred Equity
381,Pittsburgh - Union on 5th Student Housing,Value Add,5,Equity
260,Preferred Equity - Detroit Metro Industrial,Core,24,Preferred Equity
73,Santa Monica Luxury Condo Development,Opportunistic,24,Equity
511,19 North Single Family Rental Development,Opportunistic,18,Preferred Equity
199,Preferred Equity - South Florida Triple-Net Industrial Property,Opportunistic,15,Preferred Equity
121,EQUITYMULTIPLE Series A,Opportunistic,12,Company Raise
114,Cash-Flowing Texas A&M Student Housing,Core,5,Equity
19,San Francisco Pre-Development Bridge Loan,Value Add,5,Senior Debt
33,Cash Flowing Texas Multifamily Portfolio,Core,5,Equity
170,Houston Heights Multifamily Repositioning,Value Add,3,Equity
75,Hawaii Residential Construction Loan,Value Add,12,Senior Debt
510,"Dallas, TX- Stabilized Multifamily Fund",Value Add,4,Equity
175,Harvard Heights LA Multifamily Value Add,Value Add,3,Equity
185,West Hollywood Multifamily Value Add,Value Add,18,Equity
131,Los Angeles Multifamily Portfolio Value-Add,Core,2,Equity
76,West Hollywood Apartment Complex,Value Add,4,Equity
249,Downtown Brooklyn Residential Loan,Opportunistic,26,Mezzanine Debt
168,Cash-Flowing Boston Mixed-Use Office and Self Storage,Value Add,2,Equity
608,Stabilized Brooklyn Multifamily Portfolio,Core,60,Equity
120,EquityMultiple Series A,Opportunistic,5,Equity
200,Cash-Flowing Fairfield Inn & Suites Hotel,Value Add,3,Equity
123,Cash-Flowing Houston Multifamily,Value Add,5,Equity
125,Cash-Flowing Tampa Bay Retail Plaza,Opportunistic,3,Preferred Equity
10,King Street Portfolio,Core,10,Preferred Equity
130,Cash-Flowing Delaware Multifamily,Value Add,5,Equity
607,10 North and The Crest - Indiana University,Core-Plus,5,Equity
255,Opportunity Zone Fund - National Manufactured Housing,Opportunistic,10,Equity
122,Cash-Flowing Stamford Luxury Apartment Complex,Value Add,5,Equity
29,Charleston Retail and Student Housing Portfolio,Value Add,3,Equity
387,Ft. Lauderdale - Cash Flowing Office,Value Add,24,Preferred Equity
394,Long Island - Self-Storage Development,Opportunistic,48,Equity
435,"Philadelphia, PA - SOLO On Chestnut",Value Add,4,Equity
295,"Westgate Industrial Conversion - Macon, GA",Opportunistic,3,Equity
117,Cash-Flowing Connecticut Multifamily,Value Add,5,Equity
300,Preferred Equity - Indianapolis Retail Plaza,Value Add,36,Preferred Equity
246,Fairfield Inn & Suites Senior Construction Loan,Opportunistic,24,Senior Debt
195,Preferred Equity - Cash-Flowing Chicago Area Office (Tranche II),Core-Plus,32,Preferred Equity
390,Metro Phoenix - Airport Logistics,Opportunistic,10,Equity
244,Hotel Indigo Acquisition & Development Loan,Opportunistic,6,Senior Debt
124,Common Co-Living NYC Redevelopment,Opportunistic,3,Preferred Equity
248,Preferred Equity - NYC Metro Single-Tenant Industrial,Value Add,3,Preferred Equity
