,id,asset_type,offering_type,annual_return_label,asset_class,asset_type.1,capital_request,closed_on,current_preferred_return,deal_size,distribution_frequency,em_asset_manager,entity_type,equity_multiple,interest_day_count_convention,investment_increment,investment_strategy,irr,lien_position,ltv,matures_on,maximum_investment_amount,minimum_investment_amount,offering_approach,offering_strategy,offering_type.1,preferred_return_label,project_stage,projected_annual_return,rate,redemption_period,restricted_to,sponsor_id,status,subtype,term,term_period,total_preferred_return,type,unit_cost,xirr,Investment Status,Stage,Sponsor,Investment Type_x,Property Type_x,Units / Rooms / Lots_x,SF_x,Investment Date_x,Exit Date,Senior Debt_x,Sub-Debt_x,Preferred Equity_x,Equity_x,Total Capitalization_x,EM Investment_x,Deal Leverage % @ Closing_x,EM Last $ Exposure @ Closing_x,Pro Forma / Realized Return,Gross Return Multiple,eFront Dist Freq,Total Return,DISTRIBUTIONS\Interest Payment,DISTRIBUTIONS\Principal Payment,DISTRIBUTIONS\Distribution,DISTRIBUTIONS\Return of Capital,Location,Investment Type_y,Property Type_y,Units / Rooms / Lots_y,SF_y,Investment Date_y,Projected Exit Date,Senior Debt_y,Sub-Debt_y,Preferred Equity_y,Equity_y,Total Capitalization_y,EM Investment_y,Deal Leverage % @ Closing_y,EM Last $ Exposure @ Closing_y,Gross Proceeds Received To Date,Remaining Exposure %
0,19 North Single Family Rental Development,Residential,Preferred Equity,Annual Return Objective,real_estate,Residential,3000000,1/15/21 0:00,8%,20319273,Monthly,9038,llc,,Actual/365,5000,Opportunistic,,,85%,7/31/22,3000000,25000,Direct,Preferred Equity,Preferred Equity,Total Preferred Return,Development,,,,506(B),157,published,preferred,18,Month(s),16%,none,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Albuquerque, NM - Netherwood Village",Multifamily,Preferred Equity,Annual Return Objective,real_estate,Multifamily,2500000,1/15/21 0:00,9%,19955000,Monthly,9038,llc,,Actual/365,5000,Value Add,,,81%,8/1/24,,,Direct,Preferred Equity,Preferred Equity,Total Preferred Return,Value Add,,,,506(B),115,published,preferred,42,Month(s),,none,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Arbor Crest Value-Add Multifamily,Multifamily,Equity,Annual Return Objective,real_estate,Multifamily,1100000,8/28/19 10:23,,25018041,Quarterly,79,llc,,Actual/365,5000,Value Add,,,,8/28/23,500000,15000,Direct,Equity,Equity,Total Preferred Return,Entitlement,,,,506(B),96,published,common,4,Year(s),,none,5000,,Active,Renovation,Henley Investments & Magma Equities,LP Equity,Multifamily,199,"183,830",9/17/19,8/28/23,"17,000,000", -   , -   ,"8,018,041","25,018,041","1,055,000",68%,100%,,0%,Month,"6,468.48", -   , -   , -   ,"6,468.48","Raleigh, NC",LP Equity,Multifamily,199,183830,43725,45166,17000000,0,0,8018040.873,25018040.87,1055000,0.679509642,1,6468.48,0.993868739
3,Atlanta Medical Office Portfolio,Office,Preferred Equity,Annual Return Objective,real_estate,Office,1600000,8/17/20 0:00,11%,9655000,Monthly,79,individual,,Actual/365,5000,Value Add,,,63%,8/17/21,1500000,15000,Direct,Preferred Equity,Preferred Equity,Total Preferred Return,Value Add,,,,none,116,published,preferred,12,Month(s),11%,none,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Atlanta Mixed Use Office & Hotel,Mixed Use,Equity,Annual Return Objective,real_estate,Mixed Use,3000000,,,79744934,Quarterly,9738,llc,,Actual/365,5000,Opportunistic,,,,2/28/30,2000000,50000,Tax-Deferred,"Equity,Opportunity Zone",Equity,Total Preferred Return,Development,,,,506(B),99,published,common,10,Year(s),,opportunity_zone,5000,,Active,Development,Sixty West Funds,LP Equity,Mixed Use,147,"195,826",2/14/20,2/28/30,"63,648,003", -   , -   ,"35,000,000","98,648,003","1,993,800",65%,100%,,0%,Quarter, -   , -   , -   , -   , -   ,"Atlanta, GA",LP Equity,Mixed Use,147,195826,43875,47542,63648003,0,0,35000000,98648003,1993800,0.645203157,1,0,1
5,Boston Area Triple-Net Dispensary,Retail,Preferred Equity,Annual Return Objective,real_estate,Retail,1350000,1/31/21 0:00,12%,2191000,Monthly,79,individual,,Actual/360,5000,Opportunistic,,,62%,1/31/24,750000,10000,Direct,Preferred Equity,Preferred Equity,Total Preferred Return,Value Add,,,,none,159,published,preferred,36,Month(s),12%,none,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Boston Metro - Assisted Living Facility,Senior Housing,Senior Debt,Annual Return Objective,real_estate,Senior Housing,1500000,12/31/20 17:00,,12450000,Monthly,79,individual,,Actual/360,5000,Opportunistic,,Subordinate Participation,51%,10/1/21,1000000,10000,Direct,Debt,Senior Debt,Total Preferred Return,Value Add,,14%,,none,94,published,1st_lien,10,Month(s),,none,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Boston Metro Assisted Living Facility Senior Loan,Senior Housing,Senior Debt,Annual Return Objective,real_estate,Senior Housing,1500000,8/28/19 18:28,,11050000,Monthly,79,individual,,Actual/365,5000,Value Add,,Junior Participation,62%,4/1/21,100000,10000,Direct,Debt,Senior Debt,Total Preferred Return,Entitlement,,10%,,none,94,published,1st_lien,20,Month(s),,none,5000,,Active,Lease-up,BridgeInvest,Senior Debt,Assisted Living Facility,50,"37,800",8/26/19,3/29/21,"6,800,000", -   ,"3,250,000","1,000,000","11,050,000","1,500,000",62%,48%,12%,0%,Month,"102,541.67","102,541.67", -   , -   , -   ,"Tewksbury, MA",Senior Debt,Assisted Living Facility,50,37800,43703,44284,6800000,0,3250000,1000000,11050000,1500000,0.615384615,0.479638009,102541.6667,0.931638889
8,Boston Mixed-Use Acquisition Loan,Mixed Use,Senior Debt,Annual Return Objective,real_estate,Mixed Use,850000,7/28/17 12:00,,19640000,Monthly,9738,llc,,Actual/365,5000,Value Add,14%,First,63%,1/9/18,,10000,Direct,Debt,Senior Debt,Total Preferred Return,Entitlement,,11%,,506(C),47,published,1st_lien,12,Month(s),,none,5000,0.249774585,Realized,Sold,Private Capital Group,Senior Debt,Mixed Use,656,"62,596",7/27/17,12/31/17,"21,706,000", -   , -   ,"1,200,000","22,906,000","830,000",95%,4%,26%,110%,Month,"912,052.75","82,052.75","830,000.00", -   , -   ,,,,,,,,,,,,,,,,,
9,Brooklyn Designer Luxury Condo (Extension Funding),Condo,Preferred Equity,Annual Return Objective,real_estate,Condo,1020000,12/31/19 17:21,12%,36825000,Monthly,79,llc,,Actual/365,5000,Opportunistic,,,80%,7/1/20,1000000,10000,Direct,Preferred Equity,Preferred Equity,Total Preferred Return,Development,,,,506(B),92,published,preferred,6,Month(s),12%,none,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
