,,0,1,2,3
asset_type,count,36,47,42,17
asset_type,unique,11,10,15,10
asset_type,top,Multifamily,Multifamily,Car Wash,Hotel
asset_type,freq,11,21,9,4
asset_type,mean,,,,
asset_type,std,,,,
asset_type,min,,,,
asset_type,25%,,,,
asset_type,50%,,,,
asset_type,75%,,,,
asset_type,max,,,,
offering_type,count,36,47,42,17
offering_type,unique,5,1,2,2
offering_type,top,Equity,Equity,Preferred Equity,Senior Debt
offering_type,freq,16,47,41,14
offering_type,mean,,,,
offering_type,std,,,,
offering_type,min,,,,
offering_type,25%,,,,
offering_type,50%,,,,
offering_type,75%,,,,
offering_type,max,,,,
annual_return_label,count,36,47,42,17
annual_return_label,unique,1,2,1,1
annual_return_label,top,Annual Return Objective,Annual Return Objective,Annual Return Objective,Annual Return Objective
annual_return_label,freq,36,41,42,17
annual_return_label,mean,,,,
annual_return_label,std,,,,
annual_return_label,min,,,,
annual_return_label,25%,,,,
annual_return_label,50%,,,,
annual_return_label,75%,,,,
annual_return_label,max,,,,
capital_request,count,36.0,47.0,42.0,17.0
capital_request,unique,,,,
capital_request,top,,,,
capital_request,freq,,,,
capital_request,mean,2640805.5555555555,1383723.4042553192,1751926.9523809524,2067647.0588235294
capital_request,std,1975753.8715920844,1552207.5682314897,1000602.5841597492,1879489.7226766255
capital_request,min,300000.0,150000.0,100000.0,500000.0
capital_request,25%,1387500.0,515000.0,1012500.0,800000.0
capital_request,50%,2000000.0,750000.0,1675000.0,1500000.0
capital_request,75%,3015000.0,1600000.0,2150000.0,2300000.0
capital_request,max,10000000.0,7500000.0,4420000.0,7000000.0
deal_size,count,36.0,47.0,42.0,17.0
deal_size,unique,,,,
deal_size,top,,,,
deal_size,freq,,,,
deal_size,mean,379097763.9444444,44106085.14893617,11326238.166666666,25305546.05882353
deal_size,std,1475078369.2661295,100353360.98381798,9228407.126929684,46971648.32091796
deal_size,min,1814769.0,1653974.0,365569.0,1225000.0
deal_size,25%,10000000.0,6295576.5,5199867.0,3400000.0
deal_size,50%,23334636.5,14300000.0,6613817.0,10750000.0
deal_size,75%,43858044.5,36662990.5,16403380.0,16900000.0
deal_size,max,7500000000.0,597397000.0,34241000.0,184507344.0
em_asset_manager,count,36.0,47.0,42.0,17.0
em_asset_manager,unique,,,,
em_asset_manager,top,,,,
em_asset_manager,freq,,,,
em_asset_manager,mean,4633.782304526748,6912.212765957447,5350.5952380952385,6743.117647058823
em_asset_manager,std,4352.664831377542,4294.894855908786,4631.091311409321,4459.50054493708
em_asset_manager,min,79.0,79.0,79.0,79.0
em_asset_manager,25%,79.0,79.0,79.0,79.0
em_asset_manager,50%,5852.451851851852,9038.0,9038.0,9038.0
em_asset_manager,75%,9213.0,9738.0,9038.0,9738.0
em_asset_manager,max,10529.0,10529.0,10529.0,10529.0
entity_type,count,36,47,42,17
entity_type,unique,2,2,2,2
entity_type,top,llc,llc,llc,llc
entity_type,freq,24,43,38,13
entity_type,mean,,,,
entity_type,std,,,,
entity_type,min,,,,
entity_type,25%,,,,
entity_type,50%,,,,
entity_type,75%,,,,
entity_type,max,,,,
investment_increment,count,36.0,47.0,42.0,17.0
investment_increment,unique,,,,
investment_increment,top,,,,
investment_increment,freq,,,,
investment_increment,mean,4625.027777777777,4744.68085106383,4785.738095238095,4529.411764705882
investment_increment,std,1266.9226041556897,988.3689925806617,976.0779921738015,1328.422328310143
investment_increment,min,1.0,1000.0,1.0,1000.0
investment_increment,25%,5000.0,5000.0,5000.0,5000.0
investment_increment,50%,5000.0,5000.0,5000.0,5000.0
investment_increment,75%,5000.0,5000.0,5000.0,5000.0
investment_increment,max,5000.0,5000.0,5000.0,5000.0
investment_strategy,count,36,47,42,17
investment_strategy,unique,4,4,4,2
investment_strategy,top,Value Add,Value Add,Opportunistic,Opportunistic
investment_strategy,freq,15,26,22,9
investment_strategy,mean,,,,
investment_strategy,std,,,,
investment_strategy,min,,,,
investment_strategy,25%,,,,
investment_strategy,50%,,,,
investment_strategy,75%,,,,
investment_strategy,max,,,,
maximum_investment_amount,count,36.0,47.0,42.0,17.0
maximum_investment_amount,unique,,,,
maximum_investment_amount,top,,,,
maximum_investment_amount,freq,,,,
maximum_investment_amount,mean,2132359.03814262,1205185.7732613527,1047945.9843638947,871027.2168568921
maximum_investment_amount,std,2069834.1670454578,1940144.097015257,435693.32276894065,377282.5604722432
maximum_investment_amount,min,300000.0,150000.0,10000.0,100000.0
